,Abbr,TeamID,OwnerID_2,displayName,OwnerID,match,Year
18,HEIT,2,['{C5427153-E4B8-4907-8271-53E4B8090793}'],JeffHeisman93,{C5427153-E4B8-4907-8271-53E4B8090793},True,2019
32,VGTS,3,['{EDC2966B-560E-4F4A-8296-6B560EAF4A80}'],nvogts1,{EDC2966B-560E-4F4A-8296-6B560EAF4A80},True,2019
37,SWAN,5,['{6CF9FBC6-BA1A-4F16-B9FB-C6BA1A3F1659}'],MicahSwank13,{6CF9FBC6-BA1A-4F16-B9FB-C6BA1A3F1659},True,2019
45,DYLN,6,['{0A5C7A99-55FE-48FF-9C7A-9955FEC8FF3B}'],12gdylan,{0A5C7A99-55FE-48FF-9C7A-9955FEC8FF3B},True,2019
57,MM,7,['{51A524D8-FAFA-439E-A524-D8FAFA939EE0}'],kmodd22,{51A524D8-FAFA-439E-A524-D8FAFA939EE0},True,2019
66,Otte,9,"['{DA8634E8-1A57-4C72-8634-E81A575C72D8}', '{03C9941D-EDA5-4EFC-8994-1DEDA56EFCFE}']",xanderotte11,{03C9941D-EDA5-4EFC-8994-1DEDA56EFCFE},True,2019
74,Otte,9,"['{DA8634E8-1A57-4C72-8634-E81A575C72D8}', '{03C9941D-EDA5-4EFC-8994-1DEDA56EFCFE}']",Aotte11,{DA8634E8-1A57-4C72-8634-E81A575C72D8},True,2019
80,sc,10,['{5BD59581-6635-4002-B522-DE87802236B8}'],sclausing23,{5BD59581-6635-4002-B522-DE87802236B8},True,2019
94,F U,11,['{84A6667B-5663-4540-A666-7B56637540ED}'],aclausing.AC,{84A6667B-5663-4540-A666-7B56637540ED},True,2019
108,DSTN,12,['{E3731A1B-9AF8-4636-BBB8-E64E982D5916}'],dustingeissert10,{E3731A1B-9AF8-4636-BBB8-E64E982D5916},True,2019
4,SETH,1,['{823B7B7A-5AFC-4B2E-A22A-B2D690D236A8}'],base296,{823B7B7A-5AFC-4B2E-A22A-B2D690D236A8},True,2018
17,HEIT,2,['{C5427153-E4B8-4907-8271-53E4B8090793}'],JeffHeisman93,{C5427153-E4B8-4907-8271-53E4B8090793},True,2018
32,VGTS,3,['{EDC2966B-560E-4F4A-8296-6B560EAF4A80}'],nvogts1,{EDC2966B-560E-4F4A-8296-6B560EAF4A80},True,2018
36,SWAN,5,['{6CF9FBC6-BA1A-4F16-B9FB-C6BA1A3F1659}'],MicahSwank13,{6CF9FBC6-BA1A-4F16-B9FB-C6BA1A3F1659},True,2018
44,DYLN,6,['{0A5C7A99-55FE-48FF-9C7A-9955FEC8FF3B}'],12gdylan,{0A5C7A99-55FE-48FF-9C7A-9955FEC8FF3B},True,2018
56,MM,7,['{159716FC-F158-49A0-9716-FCF158A9A06B}'],41Kolby,{159716FC-F158-49A0-9716-FCF158A9A06B},True,2018
73,Otte,9,"['{DA8634E8-1A57-4C72-8634-E81A575C72D8}', '{D91C2ADF-A3E5-11D2-9B36-00A0C9862BBB}']",DaboMiller,{D91C2ADF-A3E5-11D2-9B36-00A0C9862BBB},True,2018
74,Otte,9,"['{DA8634E8-1A57-4C72-8634-E81A575C72D8}', '{D91C2ADF-A3E5-11D2-9B36-00A0C9862BBB}']",Aotte11,{DA8634E8-1A57-4C72-8634-E81A575C72D8},True,2018
79,sc,10,['{5BD59581-6635-4002-B522-DE87802236B8}'],sclausing23,{5BD59581-6635-4002-B522-DE87802236B8},True,2018
93,AJC,11,['{84A6667B-5663-4540-A666-7B56637540ED}'],aclausing.AC,{84A6667B-5663-4540-A666-7B56637540ED},True,2018
108,DSTN,12,['{E3731A1B-9AF8-4636-BBB8-E64E982D5916}'],dustingeissert10,{E3731A1B-9AF8-4636-BBB8-E64E982D5916},True,2018
